weeks,Season,GID,name,Pos,Team,h/a,Oppt,FD points,FD salary,game.id,date,playerID,pass.att,pass.comp,passyds,pass.tds,pass.ints,pass.twopta,pass.twoptm,rush.att,rushyds,rushtds,rushlng,rushlngtd,rush.twopta,rush.twoptm,recept,recyds,rec.tds,reclng,reclngtd,rec.twopta,rec.twoptm,kick.rets,kickret.avg,kickret.tds,kick.ret.lng,kickret.lngtd,punt.rets,puntret.avg,puntret.tds,puntret.lng,puntret.lngtd,fgm,fga,fgyds,totpts.fg,xpmade,xpmissed,xpa,xpb,xppts.tot,tackles,asst.tackles,sacks,defints,forced.fumbs,totalfumbs,recfumbs,totalrecfumbs,fumbyds,fumbslost,games,position,proj
16.0,2015,3997,D.Thomas,WR,DEN,h,CIN,9.4,7800.0,2015122800,2015-12-28,00-0027874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,59,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,WR,13.4
14.0,2015,6098,S.Gostkowski,PK,NE,a,HOU,11.0,5000.0,2015121303,2015-12-13,00-0024333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,49,6,3,0,3,0,3,0,0,0.0,0,0,0,0,0,0,0,1,K,9.0
1.0,2015,3677,C.Johnson,WR,DET,a,SD,4.9,8500.0,2015091308,2015-09-13,00-0025389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,39,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,WR,14.4
15.0,2015,4494,R.Gronkowski,TE,NE,h,TEN,13.9,8500.0,2015122005,2015-12-20,00-0027656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,54,1,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,TE,12.3
4.0,2015,6037,A.Vinatieri,PK,IND,h,JAC,12.0,4900.0,2015100404,2015-10-04,00-0016919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,54,9,1,0,1,0,1,0,0,0.0,0,0,0,0,0,0,0,1,K,9.0
3.0,2015,1340,M.Stafford,QB,DET,h,DEN,11.08,7400.0,2015092713,2015-09-27,00-0026498,45,31,282,1,2,0,0,1,-1,0,-1,0,0,0,1,-6,0,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,1,1,QB,16.88
3.0,2015,2629,J.Charles,RB,KC,a,GB,28.7,8700.0,2015092800,2015-09-28,00-0026213,0,0,0,0,0,0,0,11,49,3,13,9,0,0,5,33,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,RB,10.0
9.0,2015,6233,J.Lambo,PK,SD,h,CHI,7.0,4700.0,2015110900,2015-11-09,00-0032087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,31,6,1,1,2,0,1,0,0,0.0,0,0,0,0,0,0,0,1,K,9.0
3.0,2015,6224,C.Santos,PK,KC,a,GB,2.0,4600.0,2015092800,2015-09-28,00-0031203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0.0,0,0,0,0,0,0,0,1,K,8.0
6.0,2015,2969,I.Crowell,RB,CLE,h,DEN,5.1,6300.0,2015101805,2015-10-18,00-0030656,0,0,0,0,0,0,0,11,32,0,12,0,0,0,2,9,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,RB,5.3
