weeks,Season,GID,name,Pos,Team,h/a,Oppt,FD points,FD salary,game.id,date,playerID,pass.att,pass.comp,passyds,pass.tds,pass.ints,pass.twopta,pass.twoptm,rush.att,rushyds,rushtds,rushlng,rushlngtd,rush.twopta,rush.twoptm,recept,recyds,rec.tds,reclng,reclngtd,rec.twopta,rec.twoptm,kick.rets,kickret.avg,kickret.tds,kick.ret.lng,kickret.lngtd,punt.rets,puntret.avg,puntret.tds,puntret.lng,puntret.lngtd,fgm,fga,fgyds,totpts.fg,xpmade,xpmissed,xpa,xpb,xppts.tot,tackles,asst.tackles,sacks,defints,forced.fumbs,totalfumbs,recfumbs,totalrecfumbs,fumbyds,fumbslost,games,position,proj
9.0,2015,3754,P.Garcon,WR,WAS,a,NE,9.0,6300.0,2015110802,2015-11-08,00-0026345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,70,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,WR,5.1
9.0,2015,5410,J.Crowder,WR,WAS,a,NE,8.0,5700.0,2015110802,2015-11-08,00-0031941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,50,0,16,0,0,0,0,0,0,0,0,1,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,1,WR,3.8
9.0,2015,3997,D.Thomas,WR,DEN,a,IND,7.5,8400.0,2015110809,2015-11-08,00-0027874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,50,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,WR,14.7
9.0,2015,5182,R.Matthews,WR,MIA,a,BUF,7.4,6500.0,2015110804,2015-11-08,00-0029580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,54,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,WR,11.5
9.0,2015,5091,A.Green,WR,CIN,h,CLE,7.3,8500.0,2015110500,2015-11-05,00-0027942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,53,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,WR,14.2
9.0,2015,3679,J.Jones,WR,GB,a,CAR,6.7,6000.0,2015110801,2015-11-08,00-0025465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,57,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,WR,10.8
9.0,2015,5424,S.Diggs,WR,MIN,h,STL,5.7,7400.0,2015110800,2015-11-08,00-0031588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,42,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,WR,12.8
9.0,2015,5113,T.Smith,WR,SF,h,ATL,5.4,5500.0,2015110808,2015-11-08,00-0027996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,44,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,WR,4.1
9.0,2015,3602,M.Colston,WR,NO,h,TEN,5.2,5500.0,2015110803,2015-11-08,00-0024466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,37,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,WR,4.0
9.0,2015,5344,D.Moncrief,WR,IND,h,DEN,4.5,6400.0,2015110809,2015-11-08,00-0031339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,30,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,WR,11.4
9.0,2015,5216,T.Williams,WR,DAL,h,PHI,4.2,5600.0,2015110810,2015-11-08,00-0030542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,27,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,WR,4.0
9.0,2015,5173,T.Benjamin,WR,CLE,a,CIN,3.7,6000.0,2015110500,2015-11-05,00-0029269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,22,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,WR,5.7
9.0,2015,3770,D.Jackson,WR,WAS,a,NE,3.0,5600.0,2015110802,2015-11-08,00-0026189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,WR,5.3
9.0,2015,3670,T.Ginn,WR,CAR,h,GB,2.5,5300.0,2015110801,2015-11-08,00-0025396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,20,0,0,0,1,8,0,8,0,5,7,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,WR,4.9
9.0,2015,3571,R.White,WR,ATL,a,SF,2.5,5300.0,2015110808,2015-11-08,00-0023462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,WR,3.8
9.0,2015,5097,D.Inman,WR,SD,h,CHI,2.3,5000.0,2015110900,2015-11-09,00-0028411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,28,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,1,1,WR,3.8
